WTeam,LTeam,Prob,Games,Incorrect
Miami FL,Tennessee,37.71%,,
Miami FL,Texas,66.14%,,
Miami FL,Texas A&M,54.17%,,
Miami FL,Texas Tech,37.71%,,
Miami FL,TX Southern,84.20%,,
Miami FL,UCLA,58.29%,,
Miami FL,UMBC,84.20%,,
Miami FL,UNC Greensboro,76.34%,,
Miami FL,Villanova,30.22%,,
Miami FL,Virginia,30.22%,,
Miami FL,Virginia Tech,58.29%,,
Miami FL,West Virginia,45.83%,,
Miami FL,Wichita St,41.71%,,
Miami FL,Wright St,79.23%,,
Miami FL,Xavier,30.22%,,
Michigan,Michigan St,50.00%,,
Michigan,Missouri,69.78%,,
Davidson,Kentucky,23.66%,S,
Michigan,Murray St,81.85%,,
Michigan,NC Central,69.78%,,
Michigan,NC State,73.18%,,
Michigan,Nevada,66.14%,,
Michigan,New Mexico St,81.85%,,
Michigan,North Carolina,45.83%,,
Michigan,Ohio St,58.29%,,
Michigan,Oklahoma,76.34%,,
Michigan,Penn,89.80%,,
Michigan,Providence,76.34%,,
Michigan,Purdue,45.83%,,
Michigan,Radford,89.80%,,
Michigan,Rhode Island,66.14%,,
Michigan,S Dakota St,81.85%,,
Michigan,San Diego St,79.23%,,
Michigan,Seton Hall,69.78%,,
Michigan,SF Austin,86.30%,,
Michigan,St Bonaventure,79.23%,,
Michigan,Syracuse,79.23%,,
Michigan,TCU,62.29%,,
Michigan,Tennessee,50.00%,,
Michigan,Texas,76.34%,,
Michigan,Texas A&M,66.14%,,
Michigan,Texas Tech,50.00%,,
Michigan,TX Southern,89.80%,,
Michigan,UCLA,69.78%,,
Michigan,UMBC,89.80%,,
Michigan,UNC Greensboro,84.20%,,
Michigan,Villanova,41.71%,,
Michigan,Virginia,41.71%,,
Michigan,Virginia Tech,69.78%,,
Michigan,West Virginia,58.29%,,
Michigan,Wichita St,54.17%,,
Michigan,Wright St,86.30%,,
Michigan,Xavier,41.71%,,
Michigan St,Missouri,69.78%,,
Michigan St,Montana,86.30%,,
Michigan St,Murray St,81.85%,,
Michigan St,NC Central,69.78%,,
Michigan St,NC State,73.18%,,
Michigan St,Nevada,66.14%,,
Michigan St,New Mexico St,81.85%,,
Michigan St,North Carolina,45.83%,,
Michigan St,Ohio St,58.29%,,
Michigan St,Oklahoma,76.34%,,
Michigan St,Penn,89.80%,,
Michigan St,Providence,76.34%,,
Michigan St,Purdue,45.83%,,
Michigan St,Radford,89.80%,,
Michigan St,Rhode Island,66.14%,,
Michigan St,S Dakota St,81.85%,,
Michigan St,San Diego St,79.23%,,
Michigan St,Seton Hall,69.78%,,
Michigan St,SF Austin,86.30%,,
Michigan St,St Bonaventure,79.23%,,
Michigan St,Syracuse,79.23%,,
Michigan St,TCU,62.29%,,
Michigan St,Tennessee,50.00%,,
Michigan St,Texas,76.34%,,
Michigan St,Texas A&M,66.14%,,
Michigan St,Texas Tech,50.00%,,
Michigan St,TX Southern,89.80%,,
Michigan St,UCLA,69.78%,,
Michigan St,UMBC,89.80%,,
Michigan St,UNC Greensboro,84.20%,,
Michigan St,Villanova,41.71%,,
Michigan St,Virginia,41.71%,,
Michigan St,Virginia Tech,69.78%,,
Michigan St,West Virginia,58.29%,,
Michigan St,Wichita St,54.17%,,
Michigan St,Wright St,86.30%,,
Michigan St,Xavier,41.71%,,
Missouri,Montana,73.18%,,
Missouri,Murray St,66.14%,,
Missouri,NC Central,50.00%,,
Missouri,NC State,54.17%,,
Missouri,Nevada,45.83%,,
Missouri,New Mexico St,66.14%,,
Missouri,North Carolina,26.82%,,
Missouri,Ohio St,37.71%,,
Missouri,Oklahoma,58.29%,,
Missouri,Penn,79.23%,,
Missouri,Providence,58.29%,,
Missouri,Purdue,26.82%,,
Missouri,Radford,79.23%,,
Missouri,Rhode Island,45.83%,,
Missouri,S Dakota St,66.14%,,
Missouri,San Diego St,62.29%,,
Missouri,Seton Hall,50.00%,,
Missouri,SF Austin,73.18%,,
Missouri,St Bonaventure,62.29%,,
Missouri,Syracuse,62.29%,,
Missouri,TCU,41.71%,,
Missouri,Tennessee,30.22%,,
Missouri,Texas,58.29%,,
Missouri,Texas A&M,45.83%,,
Missouri,Texas Tech,30.22%,,
Missouri,TX Southern,79.23%,,
Missouri,UCLA,50.00%,,
Missouri,UMBC,79.23%,,
Missouri,UNC Greensboro,69.78%,,
Missouri,Villanova,23.66%,,
Missouri,Virginia,23.66%,,
Missouri,Virginia Tech,50.00%,,
Missouri,West Virginia,37.71%,,
Missouri,Wichita St,33.86%,,
Missouri,Wright St,73.18%,,
Missouri,Xavier,23.66%,,
Montana,Murray St,41.71%,,
Montana,NC Central,26.82%,,
Montana,NC State,30.22%,,
Montana,Nevada,23.66%,,
Montana,New Mexico St,41.71%,,
Montana,North Carolina,11.84%,,
Montana,Ohio St,18.15%,,
Montana,Oklahoma,33.86%,,
Montana,Penn,58.29%,,
Montana,Providence,33.86%,,
Montana,Purdue,11.84%,,
Montana,Radford,58.29%,,
Montana,Rhode Island,23.66%,,
Montana,S Dakota St,41.71%,,
Montana,San Diego St,37.71%,,
Montana,Seton Hall,26.82%,,
Montana,SF Austin,50.00%,,
Montana,St Bonaventure,37.71%,,
Montana,Syracuse,37.71%,,
Montana,TCU,20.77%,,
Montana,Tennessee,13.70%,,
Montana,Texas,33.86%,,
Montana,Texas A&M,23.66%,,
Montana,Texas Tech,13.70%,,
Montana,TX Southern,58.29%,,
Montana,UCLA,26.82%,,
Montana,UMBC,58.29%,,
Montana,UNC Greensboro,45.83%,,
Montana,Villanova,10.20%,,
Montana,Virginia,10.20%,,
Montana,Virginia Tech,26.82%,,
Montana,West Virginia,18.15%,,
Montana,Wichita St,15.80%,,
Montana,Wright St,50.00%,,
Montana,Xavier,10.20%,,
Murray St,NC Central,33.86%,,
Murray St,NC State,37.71%,,
Murray St,Nevada,30.22%,,
Murray St,New Mexico St,50.00%,,
Murray St,North Carolina,15.80%,,
Murray St,Ohio St,23.66%,,
Murray St,Oklahoma,41.71%,,
Murray St,Penn,66.14%,,
Murray St,Providence,41.71%,,
Murray St,Purdue,15.80%,,
Murray St,Radford,66.14%,,
Murray St,Rhode Island,30.22%,,
Murray St,S Dakota St,50.00%,,
Murray St,San Diego St,45.83%,,
Murray St,Seton Hall,33.86%,,
Murray St,SF Austin,58.29%,,
Murray St,St Bonaventure,45.83%,,
Murray St,Syracuse,45.83%,,
Murray St,TCU,26.82%,,
Murray St,Tennessee,18.15%,,
Murray St,Texas,41.71%,,
Murray St,Texas A&M,30.22%,,
Murray St,Texas Tech,18.15%,,
Murray St,TX Southern,66.14%,,
Murray St,UCLA,33.86%,,
Murray St,UMBC,66.14%,,
Murray St,UNC Greensboro,54.17%,,
Murray St,Villanova,13.70%,,
Murray St,Virginia,13.70%,,
Murray St,Virginia Tech,33.86%,,
Loyola-Chicago,Miami FL,30.22%,S,X
Murray St,Wichita St,20.77%,,
Murray St,Wright St,58.29%,,
Murray St,Xavier,13.70%,,
NC Central,NC State,54.17%,,
NC Central,Nevada,45.83%,,
NC Central,New Mexico St,66.14%,,
NC Central,North Carolina,26.82%,,
NC Central,Ohio St,37.71%,,
NC Central,Oklahoma,58.29%,,
NC Central,Penn,79.23%,,
NC Central,Providence,58.29%,,
NC Central,Purdue,26.82%,,
NC Central,Radford,79.23%,,
NC Central,Rhode Island,45.83%,,
NC Central,S Dakota St,66.14%,,
NC Central,San Diego St,62.29%,,
NC Central,Seton Hall,50.00%,,
NC Central,SF Austin,73.18%,,
NC Central,St Bonaventure,62.29%,,
NC Central,Syracuse,62.29%,,
NC Central,TCU,41.71%,,
NC Central,Tennessee,30.22%,,
NC Central,Texas,58.29%,,
NC Central,Texas A&M,45.83%,,
NC Central,Texas Tech,30.22%,,
NC Central,TX Southern,79.23%,,
NC Central,UCLA,50.00%,,
NC Central,UMBC,79.23%,,
NC Central,UNC Greensboro,69.78%,,
NC Central,Villanova,23.66%,,
NC Central,Virginia,23.66%,,
NC Central,Virginia Tech,50.00%,,
NC Central,West Virginia,37.71%,,
NC Central,Wichita St,33.86%,,
NC Central,Wright St,73.18%,,
NC Central,Xavier,23.66%,,
NC State,Nevada,41.71%,,
NC State,New Mexico St,62.29%,,
NC State,North Carolina,23.66%,,
NC State,Ohio St,33.86%,,
NC State,Oklahoma,54.17%,,
NC State,Penn,76.34%,,
NC State,Providence,54.17%,,
NC State,Purdue,23.66%,,
NC State,Radford,76.34%,,
NC State,Rhode Island,41.71%,,
NC State,S Dakota St,62.29%,,
NC State,San Diego St,58.29%,,
Nevada,Texas,62.29%,S,X
NC State,SF Austin,69.78%,,
NC State,St Bonaventure,58.29%,,
NC State,Syracuse,58.29%,,
NC State,TCU,37.71%,,
NC State,Tennessee,26.82%,,
NC State,Texas,54.17%,,
NC State,Texas A&M,41.71%,,
NC State,Texas Tech,26.82%,,
NC State,TX Southern,76.34%,,
NC State,UCLA,45.83%,,
NC State,UMBC,76.34%,,
NC State,UNC Greensboro,66.14%,,
NC State,Villanova,20.77%,,
NC State,Virginia,20.77%,,
NC State,Virginia Tech,45.83%,,
NC State,West Virginia,33.86%,,
NC State,Wichita St,30.22%,,
NC State,Wright St,69.78%,,
NC State,Xavier,20.77%,,
Nevada,New Mexico St,69.78%,,
Nevada,North Carolina,30.22%,,
Nevada,Ohio St,41.71%,,
Nevada,Oklahoma,62.29%,,
Nevada,Penn,81.85%,,
Nevada,Providence,62.29%,,
Nevada,Purdue,30.22%,,
Nevada,Radford,81.85%,,
Nevada,Rhode Island,50.00%,,
Nevada,S Dakota St,69.78%,,
Nevada,San Diego St,66.14%,,
Nevada,Seton Hall,54.17%,,
Nevada,SF Austin,76.34%,,
Nevada,St Bonaventure,66.14%,,
Nevada,Syracuse,66.14%,,
Nevada,TCU,45.83%,,
Nevada,Tennessee,33.86%,,
Tennessee,Wright St,86.30%,S,
Nevada,Texas A&M,50.00%,,
Nevada,Texas Tech,33.86%,,
Nevada,TX Southern,81.85%,,
Nevada,UCLA,54.17%,,
Nevada,UMBC,81.85%,,
Nevada,UNC Greensboro,73.18%,,
Nevada,Villanova,26.82%,,
Nevada,Virginia,26.82%,,
Nevada,Virginia Tech,54.17%,,
Nevada,West Virginia,41.71%,,
Nevada,Wichita St,37.71%,,
Nevada,Wright St,76.34%,,
Nevada,Xavier,26.82%,,
New Mexico St,North Carolina,15.80%,,
New Mexico St,Ohio St,23.66%,,
New Mexico St,Oklahoma,41.71%,,
New Mexico St,Penn,66.14%,,
New Mexico St,Providence,41.71%,,
New Mexico St,Purdue,15.80%,,
New Mexico St,Radford,66.14%,,
New Mexico St,Rhode Island,30.22%,,
New Mexico St,S Dakota St,50.00%,,
New Mexico St,San Diego St,45.83%,,
New Mexico St,Seton Hall,33.86%,,
New Mexico St,SF Austin,58.29%,,
New Mexico St,St Bonaventure,45.83%,,
New Mexico St,Syracuse,45.83%,,
New Mexico St,TCU,26.82%,,
New Mexico St,Tennessee,18.15%,,
New Mexico St,Texas,41.71%,,
New Mexico St,Texas A&M,30.22%,,
New Mexico St,Texas Tech,18.15%,,
New Mexico St,TX Southern,66.14%,,
New Mexico St,UCLA,33.86%,,
New Mexico St,UMBC,66.14%,,
New Mexico St,UNC Greensboro,54.17%,,
New Mexico St,Villanova,13.70%,,
New Mexico St,Virginia,13.70%,,
New Mexico St,Virginia Tech,33.86%,,
New Mexico St,West Virginia,23.66%,,
New Mexico St,Wichita St,20.77%,,
New Mexico St,Wright St,58.29%,,
New Mexico St,Xavier,13.70%,,
North Carolina,Ohio St,62.29%,,
North Carolina,Oklahoma,79.23%,,
North Carolina,Penn,91.24%,,
North Carolina,Providence,79.23%,,
North Carolina,Purdue,50.00%,,
North Carolina,Radford,91.24%,,
North Carolina,Rhode Island,69.78%,,
North Carolina,S Dakota St,84.20%,,
North Carolina,San Diego St,81.85%,,
North Carolina,Seton Hall,73.18%,,
North Carolina,SF Austin,88.16%,,
North Carolina,St Bonaventure,81.85%,,
North Carolina,Syracuse,81.85%,,
North Carolina,TCU,66.14%,,
North Carolina,Tennessee,54.17%,,
North Carolina,Texas,79.23%,,
North Carolina,Texas A&M,69.78%,,
North Carolina,Texas Tech,54.17%,,
North Carolina,TX Southern,91.24%,,
North Carolina,UCLA,73.18%,,
North Carolina,UMBC,91.24%,,
North Carolina,UNC Greensboro,86.30%,,
North Carolina,Villanova,45.83%,,
North Carolina,Virginia,45.83%,,
North Carolina,Virginia Tech,73.18%,,
North Carolina,West Virginia,62.29%,,
North Carolina,Wichita St,58.29%,,
North Carolina,Wright St,88.16%,,
North Carolina,Xavier,45.83%,,
Ohio St,Oklahoma,69.78%,,
Ohio St,Penn,86.30%,,
Ohio St,Providence,69.78%,,
Ohio St,Purdue,37.71%,,
Ohio St,Radford,86.30%,,
Ohio St,Rhode Island,58.29%,,
UMBC,Virginia,7.52%,S,
Ohio St,San Diego St,73.18%,,
Ohio St,Seton Hall,62.29%,,
Ohio St,SF Austin,81.85%,,
Ohio St,St Bonaventure,73.18%,,
Ohio St,Syracuse,73.18%,,
Ohio St,TCU,54.17%,,
Ohio St,Tennessee,41.71%,,
Ohio St,Texas,69.78%,,
Ohio St,Texas A&M,58.29%,,
Ohio St,Texas Tech,41.71%,,
Ohio St,TX Southern,86.30%,,
Ohio St,UCLA,62.29%,,
Ohio St,UMBC,86.30%,,
Ohio St,UNC Greensboro,79.23%,,
Ohio St,Villanova,33.86%,,
Ohio St,Virginia,33.86%,,
Ohio St,Virginia Tech,62.29%,,
Ohio St,West Virginia,50.00%,,
Ohio St,Wichita St,45.83%,,
Ohio St,Wright St,81.85%,,
Ohio St,Xavier,33.86%,,
Oklahoma,Penn,73.18%,,
Oklahoma,Providence,50.00%,,
Oklahoma,Purdue,20.77%,,
Oklahoma,Radford,73.18%,,
Florida St,Missouri,45.83%,W,
Oklahoma,S Dakota St,58.29%,,
Oklahoma,San Diego St,54.17%,,
Oklahoma,Seton Hall,41.71%,,
Oklahoma,SF Austin,66.14%,,
Oklahoma,St Bonaventure,54.17%,,
Oklahoma,Syracuse,54.17%,,
Oklahoma,TCU,33.86%,,
Oklahoma,Tennessee,23.66%,,
Oklahoma,Texas,50.00%,,
Oklahoma,Texas A&M,37.71%,,
Oklahoma,Texas Tech,23.66%,,
Oklahoma,TX Southern,73.18%,,
Oklahoma,UCLA,41.71%,,
Oklahoma,UMBC,73.18%,,
Oklahoma,UNC Greensboro,62.29%,,
Oklahoma,Villanova,18.15%,,
Oklahoma,Virginia,18.15%,,
Oklahoma,Virginia Tech,41.71%,,
Oklahoma,West Virginia,30.22%,,
Oklahoma,Wichita St,26.82%,,
Oklahoma,Wright St,66.14%,,
Oklahoma,Xavier,18.15%,,
Penn,Providence,26.82%,,
Penn,Purdue,8.76%,,
Penn,Radford,50.00%,,
Penn,Rhode Island,18.15%,,
Penn,S Dakota St,33.86%,,
Penn,San Diego St,30.22%,,
Penn,Seton Hall,20.77%,,
Penn,SF Austin,41.71%,,
Penn,St Bonaventure,30.22%,,
Penn,Syracuse,30.22%,,
Penn,TCU,15.80%,,
Penn,Tennessee,10.20%,,
Penn,Texas,26.82%,,
Penn,Texas A&M,18.15%,,
Penn,Texas Tech,10.20%,,
Penn,TX Southern,50.00%,,
Penn,UCLA,20.77%,,
Penn,UMBC,50.00%,,
Penn,UNC Greensboro,37.71%,,
Penn,Villanova,7.52%,,
Penn,Virginia,7.52%,,
Penn,Virginia Tech,20.77%,,
Penn,West Virginia,13.70%,,
Penn,Wichita St,11.84%,,
Penn,Wright St,41.71%,,
Penn,Xavier,7.52%,,
Providence,Purdue,20.77%,,
Providence,Radford,73.18%,,
Providence,Rhode Island,37.71%,,
Providence,S Dakota St,58.29%,,
Providence,San Diego St,54.17%,,
Providence,Seton Hall,41.71%,,
Providence,SF Austin,66.14%,,
Providence,St Bonaventure,54.17%,,
Providence,Syracuse,54.17%,,
Providence,TCU,33.86%,,
Providence,Tennessee,23.66%,,
Providence,Texas,50.00%,,
Gonzaga,UNC Greensboro,81.85%,W,
Providence,Texas Tech,23.66%,,
Providence,TX Southern,73.18%,,
Providence,UCLA,41.71%,,
Providence,UMBC,73.18%,,
Providence,UNC Greensboro,62.29%,,
Providence,Villanova,18.15%,,
Providence,Virginia,18.15%,,
Providence,Virginia Tech,41.71%,,
Providence,West Virginia,30.22%,,
Providence,Wichita St,26.82%,,
Providence,Wright St,66.14%,,
Providence,Xavier,18.15%,,
Purdue,Radford,91.24%,,
Purdue,Rhode Island,69.78%,,
Purdue,S Dakota St,84.20%,,
Purdue,San Diego St,81.85%,,
Purdue,Seton Hall,73.18%,,
Purdue,SF Austin,88.16%,,
Purdue,St Bonaventure,81.85%,,
Purdue,Syracuse,81.85%,,
Purdue,TCU,66.14%,,
Purdue,Tennessee,54.17%,,
Purdue,Texas,79.23%,,
Purdue,Texas A&M,69.78%,,
Purdue,Texas Tech,54.17%,,
Purdue,TX Southern,91.24%,,
Purdue,UCLA,73.18%,,
Purdue,UMBC,91.24%,,
Purdue,UNC Greensboro,86.30%,,
Purdue,Villanova,45.83%,,
Purdue,Virginia,45.83%,,
Purdue,Virginia Tech,73.18%,,
Purdue,West Virginia,62.29%,,
Purdue,Wichita St,58.29%,,
Purdue,Wright St,88.16%,,
Purdue,Xavier,45.83%,,
Radford,Rhode Island,18.15%,,
Radford,S Dakota St,33.86%,,
Radford,San Diego St,30.22%,,
Radford,Seton Hall,20.77%,,
Radford,SF Austin,41.71%,,
Radford,St Bonaventure,30.22%,,
Radford,Syracuse,30.22%,,
Radford,TCU,15.80%,,
Radford,Tennessee,10.20%,,
Radford,Texas,26.82%,,
Radford,Texas A&M,18.15%,,
Radford,Texas Tech,10.20%,,
Radford,TX Southern,50.00%,,
Radford,UCLA,20.77%,,
Radford,UMBC,50.00%,,
Radford,UNC Greensboro,37.71%,,
Houston,San Diego St,69.78%,W,
Radford,Virginia,7.52%,,
Radford,Virginia Tech,20.77%,,
Radford,West Virginia,13.70%,,
Radford,Wichita St,11.84%,,
Radford,Wright St,41.71%,,
Radford,Xavier,7.52%,,
Rhode Island,S Dakota St,69.78%,,
Rhode Island,San Diego St,66.14%,,
Rhode Island,Seton Hall,54.17%,,
Rhode Island,SF Austin,76.34%,,
Rhode Island,St Bonaventure,66.14%,,
Rhode Island,Syracuse,66.14%,,
Rhode Island,TCU,45.83%,,
Rhode Island,Tennessee,33.86%,,
Rhode Island,Texas,62.29%,,
Rhode Island,Texas A&M,50.00%,,
Rhode Island,Texas Tech,33.86%,,
Rhode Island,TX Southern,81.85%,,
Rhode Island,UCLA,54.17%,,
Rhode Island,UMBC,81.85%,,
Rhode Island,UNC Greensboro,73.18%,,
Rhode Island,Villanova,26.82%,,
Rhode Island,Virginia,26.82%,,
Rhode Island,Virginia Tech,54.17%,,
Rhode Island,West Virginia,41.71%,,
Rhode Island,Wichita St,37.71%,,
Rhode Island,Wright St,76.34%,,
Rhode Island,Xavier,26.82%,,
S Dakota St,San Diego St,45.83%,,
S Dakota St,Seton Hall,33.86%,,
S Dakota St,SF Austin,58.29%,,
S Dakota St,St Bonaventure,45.83%,,
S Dakota St,Syracuse,45.83%,,
S Dakota St,TCU,26.82%,,
S Dakota St,Tennessee,18.15%,,
S Dakota St,Texas,41.71%,,
S Dakota St,Texas A&M,30.22%,,
S Dakota St,Texas Tech,18.15%,,
S Dakota St,TX Southern,66.14%,,
S Dakota St,UCLA,33.86%,,
S Dakota St,UMBC,66.14%,,
S Dakota St,UNC Greensboro,54.17%,,
S Dakota St,Villanova,13.70%,,
S Dakota St,Virginia,13.70%,,
S Dakota St,Virginia Tech,33.86%,,
S Dakota St,West Virginia,23.66%,,
S Dakota St,Wichita St,20.77%,,
S Dakota St,Wright St,58.29%,,
S Dakota St,Xavier,13.70%,,
San Diego St,Seton Hall,37.71%,,
San Diego St,SF Austin,62.29%,,
San Diego St,St Bonaventure,50.00%,,
San Diego St,Syracuse,50.00%,,
San Diego St,TCU,30.22%,,
San Diego St,Tennessee,20.77%,,
San Diego St,Texas,45.83%,,
San Diego St,Texas A&M,33.86%,,
San Diego St,Texas Tech,20.77%,,
San Diego St,TX Southern,69.78%,,
San Diego St,UCLA,37.71%,,
San Diego St,UMBC,69.78%,,
San Diego St,UNC Greensboro,58.29%,,
San Diego St,Villanova,15.80%,,
San Diego St,Virginia,15.80%,,
San Diego St,Virginia Tech,37.71%,,
San Diego St,West Virginia,26.82%,,
San Diego St,Wichita St,23.66%,,
San Diego St,Wright St,62.29%,,
San Diego St,Xavier,15.80%,,
Seton Hall,SF Austin,73.18%,,
Seton Hall,St Bonaventure,62.29%,,
Seton Hall,Syracuse,62.29%,,
Seton Hall,TCU,41.71%,,
Seton Hall,Tennessee,30.22%,,
Seton Hall,Texas,58.29%,,
Seton Hall,Texas A&M,45.83%,,
Seton Hall,Texas Tech,30.22%,,
Seton Hall,TX Southern,79.23%,,
Seton Hall,UCLA,50.00%,,
Seton Hall,UMBC,79.23%,,
Seton Hall,UNC Greensboro,69.78%,,
Seton Hall,Villanova,23.66%,,
Seton Hall,Virginia,23.66%,,
Seton Hall,Virginia Tech,50.00%,,
Seton Hall,West Virginia,37.71%,,
Seton Hall,Wichita St,33.86%,,
Seton Hall,Wright St,73.18%,,
Seton Hall,Xavier,23.66%,,
SF Austin,St Bonaventure,37.71%,,
SF Austin,Syracuse,37.71%,,
SF Austin,TCU,20.77%,,
SF Austin,Tennessee,13.70%,,
SF Austin,Texas,33.86%,,
SF Austin,Texas A&M,23.66%,,
Lipscomb,North Carolina,10.20%,W,
SF Austin,TX Southern,58.29%,,
SF Austin,UCLA,26.82%,,
SF Austin,UMBC,58.29%,,
SF Austin,UNC Greensboro,45.83%,,
SF Austin,Villanova,10.20%,,
SF Austin,Virginia,10.20%,,
SF Austin,Virginia Tech,26.82%,,
SF Austin,West Virginia,18.15%,,
SF Austin,Wichita St,15.80%,,
SF Austin,Wright St,50.00%,,
SF Austin,Xavier,10.20%,,
St Bonaventure,Syracuse,50.00%,,
St Bonaventure,TCU,30.22%,,
St Bonaventure,Tennessee,20.77%,,
St Bonaventure,Texas,45.83%,,
St Bonaventure,Texas A&M,33.86%,,
St Bonaventure,Texas Tech,20.77%,,
St Bonaventure,TX Southern,69.78%,,
St Bonaventure,UCLA,37.71%,,
St Bonaventure,UMBC,69.78%,,
St Bonaventure,UNC Greensboro,58.29%,,
St Bonaventure,Villanova,15.80%,,
St Bonaventure,Virginia,15.80%,,
St Bonaventure,Virginia Tech,37.71%,,
St Bonaventure,West Virginia,26.82%,,
St Bonaventure,Wichita St,23.66%,,
St Bonaventure,Wright St,62.29%,,
St Bonaventure,Xavier,15.80%,,
Michigan,Montana,86.30%,W,
Syracuse,Tennessee,20.77%,,
Syracuse,Texas,45.83%,,
Syracuse,Texas A&M,33.86%,,
Syracuse,Texas Tech,20.77%,,
Syracuse,TX Southern,69.78%,,
Syracuse,UCLA,37.71%,,
Syracuse,UMBC,69.78%,,
Syracuse,UNC Greensboro,58.29%,,
Syracuse,Villanova,15.80%,,
Syracuse,Virginia,15.80%,,
Syracuse,Virginia Tech,37.71%,,
Syracuse,West Virginia,26.82%,,
Syracuse,Wichita St,23.66%,,
Syracuse,Wright St,62.29%,,
Syracuse,Xavier,15.80%,,
TCU,Tennessee,37.71%,,
TCU,Texas,66.14%,,
TCU,Texas A&M,54.17%,,
TCU,Texas Tech,37.71%,,
TCU,TX Southern,84.20%,,
TCU,UCLA,58.29%,,
TCU,UMBC,84.20%,,
TCU,UNC Greensboro,76.34%,,
TCU,Villanova,30.22%,,
TCU,Virginia,30.22%,,
TCU,Virginia Tech,58.29%,,
TCU,West Virginia,45.83%,,
TCU,Wichita St,41.71%,,
TCU,Wright St,79.23%,,
TCU,Xavier,30.22%,,
Tennessee,Texas,76.34%,,
Tennessee,Texas A&M,66.14%,,
Tennessee,Texas Tech,50.00%,,
Tennessee,TX Southern,89.80%,,
Tennessee,UCLA,69.78%,,
Tennessee,UMBC,89.80%,,
Tennessee,UNC Greensboro,84.20%,,
Tennessee,Villanova,41.71%,,
Tennessee,Virginia,41.71%,,
Tennessee,Virginia Tech,69.78%,,
Tennessee,West Virginia,58.29%,,
Tennessee,Wichita St,54.17%,,
Ohio St,S Dakota St,76.34%,W,
Tennessee,Xavier,41.71%,,
Texas,Texas A&M,37.71%,,
Texas,Texas Tech,23.66%,,
Texas,TX Southern,73.18%,,
Texas,UCLA,41.71%,,
Texas,UMBC,73.18%,,
Texas,UNC Greensboro,62.29%,,
Texas,Villanova,18.15%,,
Texas,Virginia,18.15%,,
Texas,Virginia Tech,41.71%,,
Texas,West Virginia,30.22%,,
Texas,Wichita St,26.82%,,
Texas,Wright St,66.14%,,
Texas,Xavier,18.15%,,
Texas A&M,Texas Tech,33.86%,,
Texas A&M,TX Southern,81.85%,,
Texas A&M,UCLA,54.17%,,
Texas A&M,UMBC,81.85%,,
Texas A&M,UNC Greensboro,73.18%,,
Texas A&M,Villanova,26.82%,,
Texas A&M,Virginia,26.82%,,
Texas A&M,Virginia Tech,54.17%,,
Texas A&M,West Virginia,41.71%,,
Texas A&M,Wichita St,37.71%,,
Texas A&M,Wright St,76.34%,,
Texas A&M,Xavier,26.82%,,
Texas Tech,TX Southern,89.80%,,
Texas Tech,UCLA,69.78%,,
Texas Tech,UMBC,89.80%,,
Texas Tech,UNC Greensboro,84.20%,,
Texas Tech,Villanova,41.71%,,
Texas Tech,Virginia,41.71%,,
Texas Tech,Virginia Tech,69.78%,,
Texas Tech,West Virginia,58.29%,,
Texas Tech,Wichita St,54.17%,,
Texas Tech,Wright St,86.30%,,
Texas Tech,Xavier,41.71%,,
TX Southern,UCLA,20.77%,,
TX Southern,UMBC,50.00%,,
TX Southern,UNC Greensboro,37.71%,,
TX Southern,Villanova,7.52%,,
TX Southern,Virginia,7.52%,,
TX Southern,Virginia Tech,20.77%,,
TX Southern,West Virginia,13.70%,,
TX Southern,Wichita St,11.84%,,
TX Southern,Wright St,41.71%,,
Providence,Texas A&M,37.71%,W,
UCLA,UMBC,79.23%,,
UCLA,UNC Greensboro,69.78%,,
UCLA,Villanova,23.66%,,
UCLA,Virginia,23.66%,,
UCLA,Virginia Tech,50.00%,,
UCLA,West Virginia,37.71%,,
UCLA,Wichita St,33.86%,,
UCLA,Wright St,73.18%,,
UCLA,Xavier,23.66%,,
UMBC,UNC Greensboro,37.71%,,
UMBC,Villanova,7.52%,,
TX Southern,Xavier,7.52%,W,
UMBC,Virginia Tech,20.77%,,
UMBC,West Virginia,13.70%,,
UMBC,Wichita St,11.84%,,
UMBC,Wright St,41.71%,,
UMBC,Xavier,7.52%,,
UNC Greensboro,Villanova,11.84%,,
UNC Greensboro,Virginia,11.84%,,
UNC Greensboro,Virginia Tech,30.22%,,
UNC Greensboro,West Virginia,20.77%,,
UNC Greensboro,Wichita St,18.15%,,
UNC Greensboro,Wright St,54.17%,,
UNC Greensboro,Xavier,11.84%,,
Villanova,Virginia,50.00%,,
Villanova,Virginia Tech,76.34%,,
Villanova,West Virginia,66.14%,,
Villanova,Wichita St,62.29%,,
Villanova,Wright St,89.80%,,
Villanova,Xavier,50.00%,,
Virginia,Virginia Tech,76.34%,,
Virginia,West Virginia,66.14%,,
Virginia,Wichita St,62.29%,,
Virginia,Wright St,89.80%,,
Virginia,Xavier,50.00%,,
Virginia Tech,West Virginia,37.71%,,
Virginia Tech,Wichita St,33.86%,,
Virginia Tech,Wright St,73.18%,,
Virginia Tech,Xavier,23.66%,,
West Virginia,Wichita St,45.83%,,
West Virginia,Wright St,81.85%,,
West Virginia,Xavier,33.86%,,
Wichita St,Wright St,84.20%,,
Wichita St,Xavier,37.71%,,
Wright St,Xavier,10.20%,,
