WTeam,LTeam,Prob,Games,Incorrect
Miami FL,TCU,59.51%,,
Miami FL,Tennessee,44.62%,,
Miami FL,Texas,65.65%,,
Miami FL,Texas A&M,59.59%,,
Miami FL,Texas Tech,34.26%,,
Miami FL,TX Southern,91.47%,,
Miami FL,UCLA,35.60%,,
Miami FL,UMBC,89.65%,,
Miami FL,UNC Greensboro,74.91%,,
Miami FL,Villanova,24.18%,,
Miami FL,Virginia,24.15%,,
Miami FL,Virginia Tech,69.62%,,
Miami FL,West Virginia,38.31%,,
Miami FL,Wichita St,47.14%,,
Miami FL,Wright St,81.50%,,
Miami FL,Xavier,35.54%,,
Michigan,Michigan St,57.82%,,
Michigan,Missouri,82.98%,,
Michigan,Murray St,77.30%,,
Michigan,NC Central,55.99%,,
Michigan,NC State,64.77%,,
Michigan,Nevada,65.22%,,
Michigan,New Mexico St,79.40%,,
Michigan,North Carolina,42.22%,,
Michigan,Ohio St,60.10%,,
Michigan,Oklahoma,80.12%,,
Michigan,Penn,91.36%,,
Michigan,Providence,75.65%,,
Michigan,Purdue,46.09%,,
Michigan,Radford,86.85%,,
Michigan,Rhode Island,60.40%,,
Michigan,S Dakota St,83.33%,,
Michigan,San Diego St,81.12%,,
Michigan,Seton Hall,69.71%,,
Michigan,SF Austin,84.00%,,
Michigan,St Bonaventure,80.01%,,
Michigan,Syracuse,73.33%,,
Michigan,TCU,68.21%,,
Michigan,Tennessee,54.05%,,
Michigan,Texas,73.61%,,
Michigan,Texas A&M,68.28%,,
Michigan,Texas Tech,43.20%,,
Michigan,TX Southern,94.00%,,
Michigan,UCLA,44.66%,,
Michigan,UMBC,92.67%,,
Michigan,UNC Greensboro,81.34%,,
Michigan,Villanova,31.77%,,
Michigan,Virginia,31.73%,,
Michigan,Virginia Tech,76.98%,,
Michigan,West Virginia,47.55%,,
Michigan,Wichita St,56.56%,,
Michigan,Wright St,86.54%,,
Michigan,Xavier,44.59%,,
Michigan,Montana,82.13%,,
Michigan St,Missouri,78.06%,,
Michigan St,Montana,77.03%,,
Michigan St,Murray St,71.30%,,
Michigan St,NC Central,48.14%,,
Michigan St,NC State,57.29%,,
Michigan St,Nevada,57.77%,,
Michigan St,New Mexico St,73.76%,,
Michigan St,North Carolina,34.78%,,
Michigan St,Ohio St,52.36%,,
Michigan St,Oklahoma,74.62%,,
Michigan St,Penn,88.53%,,
Michigan St,Providence,69.39%,,
Michigan St,Purdue,38.42%,,
Michigan St,Radford,82.81%,,
Michigan St,Rhode Island,52.67%,,
Michigan St,S Dakota St,78.48%,,
Michigan St,San Diego St,75.82%,,
Michigan St,Seton Hall,62.67%,,
Michigan St,SF Austin,79.30%,,
Michigan St,St Bonaventure,74.49%,,
Houston,Michigan,35.89%,W,
Michigan St,TCU,61.03%,,
Michigan St,Tennessee,46.19%,,
Michigan St,Texas,67.06%,,
Michigan St,Texas A&M,61.10%,,
Michigan St,Texas Tech,35.69%,,
Michigan St,TX Southern,91.95%,,
Michigan St,UCLA,37.06%,,
Michigan St,UMBC,90.22%,,
Michigan St,UNC Greensboro,76.07%,,
Michigan St,Villanova,25.36%,,
Michigan St,Virginia,25.32%,,
Michigan St,Virginia Tech,70.93%,,
Michigan St,West Virginia,39.81%,,
Michigan St,Wichita St,48.72%,,
Michigan St,Wright St,82.43%,,
Michigan St,Xavier,36.99%,,
Missouri,Montana,48.53%,,
Missouri,Murray St,41.13%,,
Missouri,NC Central,20.70%,,
Missouri,NC State,27.39%,,
Missouri,Nevada,27.78%,,
Missouri,New Mexico St,44.15%,,
Missouri,North Carolina,13.04%,,
Missouri,Ohio St,23.61%,,
Missouri,Oklahoma,45.25%,,
Missouri,Penn,68.45%,,
Missouri,Providence,38.93%,,
Missouri,Purdue,14.92%,,
Missouri,Radford,57.53%,,
Missouri,Rhode Island,23.83%,,
Missouri,S Dakota St,50.63%,,
Missouri,San Diego St,46.86%,,
Missouri,Seton Hall,32.07%,,
Missouri,SF Austin,51.85%,,
Missouri,St Bonaventure,45.09%,,
Missouri,Syracuse,36.06%,,
Missouri,TCU,30.57%,,
Missouri,Tennessee,19.44%,,
Missouri,Texas,36.40%,,
Missouri,Texas A&M,30.63%,,
Missouri,Texas Tech,13.50%,,
Missouri,TX Southern,76.26%,,
Missouri,UCLA,14.20%,,
Missouri,UMBC,72.17%,,
Missouri,UNC Greensboro,47.20%,,
Missouri,Villanova,8.72%,,
Missouri,Virginia,8.70%,,
Missouri,Virginia Tech,40.70%,,
Missouri,West Virginia,15.68%,,
Missouri,Wichita St,21.08%,,
Missouri,Wright St,56.88%,,
Missouri,Xavier,14.17%,,
Montana,Murray St,42.56%,,
Montana,NC Central,21.68%,,
Montana,NC State,28.57%,,
Montana,Nevada,28.98%,,
Montana,New Mexico St,45.60%,,
Montana,North Carolina,13.72%,,
Montana,Ohio St,24.68%,,
Montana,Oklahoma,46.71%,,
Montana,Penn,69.70%,,
Montana,Providence,40.33%,,
Montana,Purdue,15.68%,,
Montana,Radford,58.96%,,
Montana,Rhode Island,24.92%,,
Montana,S Dakota St,52.09%,,
Montana,San Diego St,48.32%,,
Montana,Seton Hall,33.36%,,
Montana,SF Austin,53.31%,,
Montana,St Bonaventure,46.55%,,
Montana,Syracuse,37.43%,,
Montana,TCU,31.83%,,
Montana,Tennessee,20.38%,,
Montana,Texas,37.77%,,
Montana,Texas A&M,31.89%,,
Montana,Texas Tech,14.20%,,
Montana,TX Southern,77.31%,,
Montana,UCLA,14.94%,,
Montana,UMBC,73.33%,,
Montana,UNC Greensboro,48.67%,,
Montana,Villanova,9.20%,,
Montana,Virginia,9.18%,,
Montana,Virginia Tech,42.12%,,
Montana,West Virginia,16.47%,,
Montana,Wichita St,22.07%,,
Montana,Wright St,58.32%,,
Montana,Xavier,14.90%,,
Murray St,West Virginia,21.02%,,
Murray St,NC Central,27.19%,,
Murray St,NC State,35.05%,,
Murray St,Nevada,35.51%,,
Murray St,New Mexico St,53.08%,,
Murray St,North Carolina,17.66%,,
Murray St,Ohio St,30.67%,,
Murray St,Oklahoma,54.19%,,
Murray St,Penn,75.64%,,
Murray St,Providence,47.70%,,
Murray St,Purdue,20.06%,,
Murray St,Radford,65.97%,,
Murray St,Rhode Island,30.93%,,
Murray St,S Dakota St,59.47%,,
Murray St,San Diego St,55.79%,,
Murray St,Seton Hall,40.32%,,
Murray St,SF Austin,60.65%,,
Murray St,St Bonaventure,54.03%,,
Murray St,Syracuse,44.66%,,
Murray St,TCU,38.65%,,
Murray St,Tennessee,25.67%,,
Murray St,Texas,45.03%,,
Murray St,Texas A&M,38.72%,,
Murray St,Texas Tech,18.25%,,
Murray St,TX Southern,82.13%,,
Murray St,UCLA,19.15%,,
Murray St,UMBC,78.77%,,
Murray St,UNC Greensboro,56.13%,,
Murray St,Villanova,12.03%,,
Murray St,Virginia,12.01%,,
Murray St,Virginia Tech,49.55%,,
Murray St,Wichita St,27.65%,,
Murray St,Wright St,65.37%,,
Murray St,Xavier,19.11%,,
NC Central,NC State,59.11%,,
NC Central,Nevada,59.59%,,
NC Central,New Mexico St,75.19%,,
NC Central,North Carolina,36.49%,,
NC Central,Ohio St,54.22%,,
NC Central,Oklahoma,76.01%,,
NC Central,Penn,89.26%,,
NC Central,Providence,70.96%,,
NC Central,Purdue,40.20%,,
NC Central,Radford,83.85%,,
NC Central,Rhode Island,54.53%,,
NC Central,S Dakota St,79.72%,,
NC Central,San Diego St,77.17%,,
NC Central,Seton Hall,64.40%,,
NC Central,SF Austin,80.50%,,
NC Central,St Bonaventure,75.89%,,
NC Central,Syracuse,68.37%,,
NC Central,TCU,62.79%,,
NC Central,Tennessee,48.05%,,
NC Central,Texas,68.69%,,
NC Central,Texas A&M,62.86%,,
NC Central,Texas Tech,37.43%,,
NC Central,TX Southern,92.49%,,
NC Central,UCLA,38.82%,,
NC Central,UMBC,90.86%,,
NC Central,UNC Greensboro,77.41%,,
NC Central,Villanova,26.80%,,
NC Central,Virginia,26.76%,,
NC Central,Virginia Tech,72.45%,,
NC Central,West Virginia,41.62%,,
NC Central,Wichita St,50.59%,,
NC Central,Wright St,83.49%,,
NC Central,Xavier,38.75%,,
NC State,Seton Hall,55.59%,,
NC State,Nevada,50.50%,,
NC State,New Mexico St,67.70%,,
NC State,North Carolina,28.44%,,
NC State,Ohio St,45.04%,,
NC State,Oklahoma,68.67%,,
NC State,Penn,85.19%,,
NC State,Providence,62.83%,,
NC State,Purdue,31.75%,,
NC State,Radford,78.22%,,
NC State,Rhode Island,45.35%,,
NC State,S Dakota St,73.11%,,
NC State,San Diego St,70.04%,,
NC State,SF Austin,74.06%,,
NC State,St Bonaventure,68.53%,,
NC State,Syracuse,59.93%,,
NC State,TCU,53.86%,,
NC State,Tennessee,39.02%,,
NC State,Texas,60.28%,,
NC State,Texas A&M,53.93%,,
NC State,Texas Tech,29.27%,,
NC State,TX Southern,89.49%,,
NC State,UCLA,30.51%,,
NC State,UMBC,87.30%,,
NC State,UNC Greensboro,70.33%,,
NC State,Villanova,20.21%,,
NC State,Virginia,20.18%,,
NC State,Virginia Tech,64.53%,,
NC State,West Virginia,33.03%,,
NC State,Wichita St,41.46%,,
NC State,Wright St,77.77%,,
NC State,Xavier,30.45%,,
Nevada,Texas,59.80%,,
Nevada,New Mexico St,67.27%,,
Nevada,North Carolina,28.04%,,
Nevada,Ohio St,44.55%,,
Nevada,Oklahoma,68.24%,,
Nevada,Penn,84.94%,,
Nevada,Providence,62.36%,,
Nevada,Purdue,31.32%,,
Nevada,Radford,77.88%,,
Nevada,Rhode Island,44.86%,,
Nevada,S Dakota St,72.72%,,
Nevada,San Diego St,69.62%,,
Nevada,Seton Hall,55.10%,,
Nevada,SF Austin,73.68%,,
Nevada,St Bonaventure,68.10%,,
Nevada,Syracuse,59.45%,,
Nevada,TCU,53.37%,,
Nevada,Tennessee,38.55%,,
Nevada,Texas A&M,53.44%,,
Nevada,Texas Tech,28.86%,,
Nevada,TX Southern,89.30%,,
Nevada,UCLA,30.09%,,
Nevada,UMBC,87.08%,,
Nevada,UNC Greensboro,69.91%,,
Nevada,Villanova,19.89%,,
Nevada,Virginia,19.86%,,
Nevada,Virginia Tech,64.08%,,
Nevada,West Virginia,32.59%,,
Nevada,Wichita St,40.98%,,
Nevada,Wright St,77.42%,,
Nevada,Xavier,30.03%,,
New Mexico St,North Carolina,15.94%,,
New Mexico St,Ohio St,28.11%,,
New Mexico St,Oklahoma,51.12%,,
New Mexico St,Penn,73.29%,,
New Mexico St,Providence,44.64%,,
New Mexico St,Purdue,18.16%,,
New Mexico St,Radford,63.15%,,
New Mexico St,Rhode Island,28.36%,,
New Mexico St,S Dakota St,56.47%,,
New Mexico St,San Diego St,52.73%,,
New Mexico St,Seton Hall,37.39%,,
New Mexico St,SF Austin,57.67%,,
New Mexico St,St Bonaventure,50.95%,,
New Mexico St,Syracuse,41.64%,,
New Mexico St,TCU,35.77%,,
New Mexico St,Tennessee,23.39%,,
New Mexico St,Texas,42.00%,,
New Mexico St,Texas A&M,35.84%,,
New Mexico St,Texas Tech,16.48%,,
New Mexico St,TX Southern,80.25%,,
New Mexico St,UCLA,17.32%,,
New Mexico St,UMBC,76.64%,,
New Mexico St,UNC Greensboro,53.07%,,
New Mexico St,Villanova,10.78%,,
New Mexico St,Virginia,10.76%,,
New Mexico St,Virginia Tech,46.47%,,
New Mexico St,West Virginia,19.05%,,
New Mexico St,Wichita St,25.26%,,
New Mexico St,Wright St,62.53%,,
New Mexico St,Xavier,17.28%,,
North Carolina,Ohio St,67.34%,,
North Carolina,Oklahoma,84.65%,,
North Carolina,Penn,93.54%,,
North Carolina,Providence,80.96%,,
North Carolina,Purdue,53.92%,,
North Carolina,Radford,90.04%,,
North Carolina,Rhode Island,67.61%,,
North Carolina,S Dakota St,87.25%,,
North Carolina,San Diego St,85.47%,,
North Carolina,Seton Hall,75.90%,,
North Carolina,SF Austin,87.78%,,
North Carolina,St Bonaventure,84.56%,,
North Carolina,Syracuse,79.00%,,
North Carolina,TCU,74.60%,,
North Carolina,Tennessee,61.68%,,
North Carolina,Texas,79.25%,,
North Carolina,Texas A&M,74.66%,W,X
North Carolina,Texas Tech,51.00%,,
North Carolina,TX Southern,95.00%,,
North Carolina,UCLA,52.48%,,
North Carolina,UMBC,94.54%,,
North Carolina,UNC Greensboro,85.64%,,
North Carolina,Villanova,38.93%,,
North Carolina,Virginia,38.88%,,
North Carolina,Virginia Tech,82.07%,,
North Carolina,West Virginia,55.37%,,
North Carolina,Wichita St,64.06%,,
North Carolina,Wright St,89.80%,,
North Carolina,Xavier,52.41%,,
Ohio St,Oklahoma,72.79%,,
Ohio St,Penn,87.53%,,
Ohio St,Providence,67.35%,,
Ohio St,Purdue,36.21%,,
Ohio St,Radford,81.42%,,
Ohio St,Rhode Island,50.31%,,
Ohio St,San Diego St,74.04%,,
Ohio St,Seton Hall,60.43%,,
Ohio St,SF Austin,77.70%,,
Ohio St,St Bonaventure,72.65%,,
Ohio St,Syracuse,64.60%,,
Ohio St,TCU,58.75%,,
Ohio St,Tennessee,43.84%,,
Ohio St,Texas,64.93%,,
Ohio St,Texas A&M,58.82%,,
Ohio St,Texas Tech,33.55%,,
Ohio St,TX Southern,91.22%,,
Ohio St,UCLA,34.88%,,
Ohio St,UMBC,89.35%,,
Ohio St,UNC Greensboro,74.31%,,
Ohio St,Villanova,23.61%,,
Ohio St,Virginia,23.57%,,
Ohio St,Virginia Tech,68.95%,,
Ohio St,West Virginia,37.57%,,
Ohio St,Wichita St,46.36%,,
Ohio St,Wright St,81.02%,,
Ohio St,Xavier,34.82%,,
Ohio St,S Dakota St,76.84%,,
Oklahoma,Rhode Island,27.47%,,
Oklahoma,Penn,72.41%,,
Oklahoma,Providence,43.55%,,
Oklahoma,Purdue,17.51%,,
Oklahoma,Radford,62.11%,,
Oklahoma,S Dakota St,55.37%,,
Oklahoma,San Diego St,51.62%,,
Oklahoma,Seton Hall,36.36%,,
Oklahoma,SF Austin,56.58%,,
Oklahoma,St Bonaventure,49.84%,,
Oklahoma,Syracuse,40.57%,,
Oklahoma,TCU,34.76%,,
Oklahoma,Tennessee,22.60%,,
Oklahoma,Texas,40.92%,,
Oklahoma,Texas A&M,34.82%,,
Oklahoma,Texas Tech,15.88%,,
Oklahoma,TX Southern,79.54%,,
Oklahoma,UCLA,16.69%,,
Oklahoma,UMBC,75.83%,,
Oklahoma,UNC Greensboro,51.96%,,
Oklahoma,Villanova,10.36%,,
Oklahoma,Virginia,10.34%,,
Oklahoma,Virginia Tech,45.37%,,
Oklahoma,West Virginia,18.37%,,
Oklahoma,Wichita St,24.43%,,
Oklahoma,Wright St,61.49%,,
Oklahoma,Xavier,16.65%,,
Penn,Providence,22.71%,,
Penn,Purdue,7.48%,,
Penn,Radford,38.44%,,
Penn,Rhode Island,12.61%,,
Penn,S Dakota St,32.10%,,
Penn,San Diego St,28.90%,,
Penn,Seton Hall,17.87%,,
Penn,SF Austin,33.18%,,
Penn,St Bonaventure,27.46%,,
Penn,Syracuse,20.64%,,
Penn,TCU,16.87%,,
Penn,Tennessee,10.01%,,
Penn,Texas,20.88%,,
Penn,Texas A&M,16.91%,,
Penn,Texas Tech,6.71%,,
Penn,TX Southern,59.69%,,
Penn,UCLA,7.09%,,
Penn,UMBC,54.45%,,
Penn,UNC Greensboro,29.19%,,
Penn,Villanova,5.00%,,
Penn,Virginia,5.00%,,
Penn,Virginia Tech,24.03%,,
Penn,West Virginia,7.90%,,
Penn,Wichita St,10.96%,,
Penn,Wright St,37.82%,,
Penn,Xavier,7.07%,,
Providence,Purdue,21.58%,,
Providence,Radford,68.01%,,
Providence,Rhode Island,32.93%,,
Providence,S Dakota St,61.67%,,
Providence,San Diego St,58.04%,,
Providence,Seton Hall,42.55%,,
Providence,SF Austin,62.82%,,
Providence,St Bonaventure,56.30%,,
Providence,Syracuse,46.95%,,
Providence,TCU,40.86%,,
Providence,Tennessee,27.47%,,
Providence,Texas,47.31%,,
Providence,Texas Tech,19.67%,,
Providence,TX Southern,83.44%,,
Providence,UCLA,20.62%,,
Providence,UMBC,80.27%,,
Providence,UNC Greensboro,58.38%,,
Providence,Villanova,13.04%,,
Providence,Virginia,13.01%,,
Providence,Virginia Tech,51.85%,,
Providence,West Virginia,22.59%,,
Providence,Wichita St,29.53%,,
Providence,Wright St,67.43%,,
Providence,Xavier,20.57%,,
Providence,Texas A&M,40.93%,,
Purdue,Radford,88.54%,,
Purdue,Rhode Island,64.08%,,
Purdue,S Dakota St,85.39%,,
Purdue,San Diego St,83.41%,,
Purdue,Seton Hall,72.91%,,
Purdue,SF Austin,85.99%,,
Purdue,St Bonaventure,82.40%,,
Purdue,Syracuse,76.28%,,
Purdue,TCU,71.51%,,
Purdue,Tennessee,57.91%,,
Purdue,Texas,76.54%,,
Purdue,Texas A&M,71.57%,,
Purdue,Texas Tech,47.08%,,
Purdue,TX Southern,94.82%,,
Purdue,UCLA,48.55%,,
Purdue,UMBC,93.66%,,
Purdue,UNC Greensboro,83.60%,,
Purdue,Villanova,35.26%,,
Purdue,Virginia,35.21%,,
Purdue,Virginia Tech,79.64%,,
Purdue,West Virginia,51.46%,,
Purdue,Wichita St,60.36%,,
Purdue,Wright St,88.26%,,
Purdue,Xavier,48.48%,,
Radford,Villanova,6.59%,,
Radford,Rhode Island,18.76%,,
Radford,S Dakota St,43.08%,,
Radford,San Diego St,39.42%,,
Radford,Seton Hall,25.84%,,
Radford,SF Austin,44.29%,,
Radford,St Bonaventure,37.74%,,
Radford,Syracuse,29.40%,,
Radford,TCU,24.53%,,
Radford,Tennessee,15.12%,,
Radford,Texas,29.70%,,
Radford,Texas A&M,24.58%,,
Radford,Texas Tech,10.33%,,
Radford,TX Southern,70.34%,,
Radford,UCLA,10.89%,,
Radford,UMBC,65.68%,,
Radford,UNC Greensboro,39.75%,,
Radford,Virginia,6.57%,,
Radford,Virginia Tech,33.62%,,
Radford,West Virginia,12.07%,,
Radford,Wichita St,16.47%,,
Radford,Wright St,49.34%,,
Radford,Xavier,10.86%,,
Rhode Island,S Dakota St,76.61%,,
Rhode Island,San Diego St,73.80%,,
Rhode Island,Seton Hall,60.13%,,
Rhode Island,SF Austin,77.48%,,
Rhode Island,St Bonaventure,72.40%,,
Rhode Island,Syracuse,64.31%,,
Rhode Island,TCU,58.45%,,
Rhode Island,Tennessee,43.53%,,
Rhode Island,Texas,64.65%,,
Rhode Island,Texas A&M,58.52%,,
Rhode Island,Texas Tech,33.27%,,
Rhode Island,TX Southern,91.12%,,
Rhode Island,UCLA,34.60%,,
Rhode Island,UMBC,89.23%,,
Rhode Island,UNC Greensboro,74.07%,,
Rhode Island,Villanova,23.38%,,
Rhode Island,Virginia,23.35%,,
Rhode Island,Virginia Tech,68.67%,,
Rhode Island,West Virginia,37.27%,,
Rhode Island,Wichita St,46.05%,,
Rhode Island,Wright St,80.82%,,
Rhode Island,Xavier,34.53%,,
S Dakota St,San Diego St,46.23%,,
S Dakota St,Seton Hall,31.52%,,
S Dakota St,SF Austin,51.22%,,
S Dakota St,St Bonaventure,44.47%,,
S Dakota St,Syracuse,35.49%,,
S Dakota St,TCU,30.04%,,
S Dakota St,Tennessee,19.05%,,
S Dakota St,Texas,35.82%,,
S Dakota St,Texas A&M,30.10%,,
S Dakota St,Texas Tech,13.21%,,
S Dakota St,TX Southern,75.80%,,
S Dakota St,UCLA,13.90%,,
S Dakota St,UMBC,71.66%,,
S Dakota St,UNC Greensboro,46.58%,,
S Dakota St,Villanova,8.52%,,
S Dakota St,Virginia,8.51%,,
S Dakota St,Virginia Tech,40.09%,,
S Dakota St,West Virginia,15.35%,,
S Dakota St,Wichita St,20.67%,,
S Dakota St,Wright St,56.27%,,
S Dakota St,Xavier,13.87%,,
San Diego St,Seton Hall,34.88%,,
San Diego St,SF Austin,54.99%,,
San Diego St,St Bonaventure,48.23%,,
San Diego St,Syracuse,39.02%,,
San Diego St,TCU,33.31%,,
San Diego St,Tennessee,21.49%,,
San Diego St,Texas,39.37%,,
San Diego St,Texas A&M,33.37%,,
San Diego St,Texas Tech,15.04%,,
San Diego St,TX Southern,78.47%,,
San Diego St,UCLA,15.81%,,
San Diego St,UMBC,74.63%,,
San Diego St,UNC Greensboro,50.35%,,
San Diego St,Villanova,9.78%,,
San Diego St,Virginia,9.76%,,
San Diego St,Virginia Tech,43.77%,,
San Diego St,West Virginia,17.42%,,
San Diego St,Wichita St,23.26%,,
San Diego St,Wright St,59.95%,,
San Diego St,Xavier,15.77%,,
Seton Hall,SF Austin,69.53%,,
Seton Hall,St Bonaventure,63.50%,,
Seton Hall,Syracuse,54.44%,,
Seton Hall,TCU,48.26%,,
Seton Hall,Tennessee,33.83%,,
Seton Hall,Texas,54.81%,,
Seton Hall,Texas A&M,48.34%,,
Seton Hall,Texas Tech,24.85%,,
Seton Hall,TX Southern,87.19%,,
Seton Hall,UCLA,25.97%,,
Seton Hall,UMBC,84.60%,,
Seton Hall,UNC Greensboro,65.45%,,
Seton Hall,Villanova,16.83%,,
Seton Hall,Virginia,16.81%,,
Seton Hall,Virginia Tech,59.25%,,
Seton Hall,West Virginia,28.27%,,
Seton Hall,Wichita St,36.14%,,
Seton Hall,Wright St,73.65%,,
Seton Hall,Xavier,25.92%,,
SF Austin,Texas Tech,12.65%,,
SF Austin,St Bonaventure,43.26%,,
SF Austin,Syracuse,34.37%,,
SF Austin,TCU,29.02%,,
SF Austin,Tennessee,18.30%,,
SF Austin,Texas,34.70%,,
SF Austin,Texas A&M,29.08%,,
SF Austin,TX Southern,74.89%,,
SF Austin,UCLA,13.32%,,
SF Austin,UMBC,70.66%,,
SF Austin,UNC Greensboro,45.36%,,
SF Austin,Villanova,8.15%,,
SF Austin,Virginia,8.13%,,
SF Austin,Virginia Tech,38.92%,,
SF Austin,West Virginia,14.73%,,
SF Austin,Wichita St,19.87%,,
SF Austin,Wright St,55.06%,,
SF Austin,Xavier,13.29%,,
St Bonaventure,Syracuse,40.72%,,
St Bonaventure,TCU,34.90%,,
St Bonaventure,Tennessee,22.71%,,
St Bonaventure,Texas,41.07%,,
St Bonaventure,Texas A&M,34.97%,,
St Bonaventure,Texas Tech,15.97%,,
St Bonaventure,TX Southern,79.64%,,
St Bonaventure,UCLA,16.78%,,
St Bonaventure,UMBC,75.95%,,
St Bonaventure,UNC Greensboro,52.12%,,
St Bonaventure,Villanova,10.42%,,
St Bonaventure,Virginia,10.40%,,
St Bonaventure,Virginia Tech,45.52%,,
St Bonaventure,West Virginia,18.47%,,
St Bonaventure,Wichita St,24.54%,,
St Bonaventure,Wright St,61.64%,,
St Bonaventure,Xavier,16.74%,,
Syracuse,TCU,43.84%,,
Syracuse,Tennessee,29.96%,,
Syracuse,Texas,50.37%,,
Syracuse,Texas A&M,43.91%,,
Syracuse,Texas Tech,21.67%,,
Syracuse,TX Southern,85.06%,,
Syracuse,UCLA,22.69%,,
Syracuse,UMBC,82.14%,,
Syracuse,UNC Greensboro,61.32%,,
Syracuse,Villanova,14.48%,,
Syracuse,Virginia,14.46%,,
Syracuse,Virginia Tech,54.89%,,
Syracuse,West Virginia,24.80%,,
Syracuse,Wichita St,32.14%,,
Syracuse,Wright St,70.05%,,
Syracuse,Xavier,22.64%,,
TCU,Tennessee,35.41%,,
TCU,Texas,56.53%,,
TCU,Texas A&M,50.08%,,
TCU,Texas Tech,26.17%,,
TCU,TX Southern,87.95%,,
TCU,UCLA,27.33%,,
TCU,UMBC,85.49%,,
TCU,UNC Greensboro,67.01%,,
TCU,Villanova,17.83%,,
TCU,Virginia,17.80%,,
TCU,Virginia Tech,60.92%,,
TCU,West Virginia,29.70%,,
TCU,Wichita St,37.77%,,
TCU,Wright St,74.98%,,
TCU,Xavier,27.28%,,
Tennessee,Wright St,84.54%,,
Tennessee,Texas,70.34%,,
Tennessee,Texas A&M,64.66%,,
Tennessee,Texas Tech,39.27%,,
Tennessee,TX Southern,93.01%,,
Tennessee,UCLA,40.69%,,
Tennessee,UMBC,91.49%,,
Tennessee,UNC Greensboro,78.74%,,
Tennessee,Villanova,28.36%,,
Tennessee,Virginia,28.32%,,
Tennessee,Virginia Tech,73.98%,,
Tennessee,West Virginia,43.52%,,
Tennessee,Wichita St,52.54%,,
Tennessee,Xavier,40.62%,,
Texas,Texas A&M,43.55%,,
Texas,Texas Tech,21.42%,,
Texas,TX Southern,84.88%,,
Texas,UCLA,22.44%,,
Texas,UMBC,81.92%,,
Texas,UNC Greensboro,60.97%,,
Texas,Villanova,14.31%,,
Texas,Virginia,14.28%,,
Texas,Virginia Tech,54.53%,,
Texas,West Virginia,24.53%,,
Texas,Wichita St,31.82%,,
Texas,Wright St,69.75%,,
Texas,Xavier,22.39%,,
Texas A&M,Texas Tech,26.12%,,
Texas A&M,TX Southern,87.92%,,
Texas A&M,UCLA,27.28%,,
Texas A&M,UMBC,85.45%,,
Texas A&M,UNC Greensboro,66.94%,,
Texas A&M,Villanova,17.79%,,
Texas A&M,Virginia,17.76%,,
Texas A&M,Virginia Tech,60.85%,,
Texas A&M,West Virginia,29.64%,,
Texas A&M,Wichita St,37.70%,,
Texas A&M,Wright St,74.93%,,
Texas A&M,Xavier,27.22%,,
Texas Tech,TX Southern,95.00%,,
Texas Tech,UCLA,51.48%,,
Texas Tech,UMBC,94.32%,,
Texas Tech,UNC Greensboro,85.14%,,
Texas Tech,Villanova,37.97%,,
Texas Tech,Virginia,37.92%,,
Texas Tech,Virginia Tech,81.47%,,
Texas Tech,West Virginia,54.37%,,
Texas Tech,Wichita St,63.12%,,
Texas Tech,Wright St,89.42%,,
Texas Tech,Xavier,51.40%,,
TX Southern,UCLA,5.00%,,
TX Southern,UMBC,44.68%,,
TX Southern,UNC Greensboro,21.78%,,
TX Southern,Villanova,5.00%,,
TX Southern,Virginia,5.00%,,
TX Southern,Virginia Tech,17.61%,,
TX Southern,West Virginia,5.48%,,
TX Southern,Wichita St,7.68%,,
TX Southern,Wright St,29.12%,,
TX Southern,Xavier,5.00%,,
UCLA,UMBC,94.00%,,
UCLA,UNC Greensboro,84.38%,,
UCLA,Villanova,36.59%,,
UCLA,Virginia,36.55%,,
UCLA,Virginia Tech,80.57%,,
UCLA,West Virginia,52.91%,,
UCLA,Wichita St,61.74%,,
UCLA,Wright St,88.85%,,
UCLA,Xavier,49.93%,,
UMBC,Virginia,5.00%,,
UMBC,UNC Greensboro,25.64%,,
UMBC,Villanova,5.00%,,
UMBC,Virginia Tech,20.93%,,
UMBC,West Virginia,6.69%,,
UMBC,Wichita St,9.34%,,
UMBC,Wright St,33.72%,,
UMBC,Xavier,5.99%,,
UNC Greensboro,Villanova,9.65%,,
UNC Greensboro,Virginia,9.64%,,
UNC Greensboro,Virginia Tech,43.43%,,
UNC Greensboro,West Virginia,17.22%,,
UNC Greensboro,Wichita St,23.01%,,
UNC Greensboro,Wright St,59.61%,,
UNC Greensboro,Xavier,15.59%,,
Villanova,Virginia,49.94%,,
Villanova,Virginia Tech,87.78%,,
Villanova,West Virginia,66.06%,,
Villanova,Wichita St,73.65%,,
Villanova,Wright St,93.25%,,
Villanova,Xavier,63.34%,,
Virginia,Virginia Tech,87.80%,,
Virginia,West Virginia,66.10%,,
Virginia,Wichita St,73.69%,,
Virginia,Wright St,93.26%,,
Virginia,Xavier,63.38%,,
Virginia Tech,West Virginia,21.33%,,
Virginia Tech,Wichita St,28.02%,,
Virginia Tech,Wright St,65.79%,,
Virginia Tech,Xavier,19.40%,,
West Virginia,Wichita St,58.95%,,
West Virginia,Wright St,87.64%,,
West Virginia,Xavier,47.02%,,
Wichita St,Wright St,83.16%,,
Wichita St,Xavier,38.20%,,
Wright St,Xavier,11.12%,,
